image_id,file_type,file_size,resolution_width,resolution_height,collection_date,collection_state
IMG_00001,jpg,0.2047,1600,902,14-01-2026,Tamil Nadu
IMG_00002,jpg,0.2789,1600,902,14-01-2026,Tamil Nadu
IMG_00003,jpg,0.2113,1600,902,14-01-2026,Tamil Nadu
IMG_00004,jpg,0.1627,1600,902,14-01-2026,Tamil Nadu
IMG_00005,jpg,0.2285,1600,902,14-01-2026,Tamil Nadu
IMG_00006,jpg,0.1763,1600,902,14-01-2026,Tamil Nadu
IMG_00007,jpg,0.2321,1600,902,14-01-2026,Tamil Nadu
IMG_00008,jpg,0.2031,1600,902,14-01-2026,Tamil Nadu
IMG_00009,jpg,0.1947,1600,902,14-01-2026,Tamil Nadu
IMG_00010,jpg,0.1667,1600,902,14-01-2026,Tamil Nadu
IMG_00011,jpg,0.2111,1600,902,14-01-2026,Tamil Nadu
IMG_00012,jpg,0.1996,1600,902,14-01-2026,Tamil Nadu
IMG_00013,jpg,0.7888,4624,2080,15-01-2026,Delhi
IMG_00014,jpg,1.7449,4624,2080,15-01-2026,Delhi
IMG_00015,jpg,1.7366,4624,2080,15-01-2026,Delhi
IMG_00016,jpg,1.9054,4624,2080,15-01-2026,Delhi
IMG_00017,jpg,1.8628,4624,2080,15-01-2026,Delhi
IMG_00018,jpg,2.1323,4624,2080,15-01-2026,Delhi
IMG_00019,jpg,2.1954,4624,2080,15-01-2026,Delhi
IMG_00020,jpg,1.1753,4624,2080,16-01-2026,Delhi
IMG_00021,jpg,1.3404,4624,2080,16-01-2026,Delhi
IMG_00022,jpg,1.0053,4624,2080,16-01-2026,Delhi
IMG_00023,jpg,1.1536,4624,2080,16-01-2026,Delhi
IMG_00024,jpg,1.1416,4624,2080,16-01-2026,Delhi
IMG_00025,jpg,1.0385,4624,2080,16-01-2026,Delhi
IMG_00026,jpg,1.4159,4624,2080,16-01-2026,Delhi
IMG_00027,jpg,1.5369,4624,2080,17-01-2026,Delhi
IMG_00028,jpg,1.4958,4624,2080,17-01-2026,Delhi
IMG_00029,jpg,0.9591,4624,2080,17-01-2026,Delhi
IMG_00030,jpg,1.5459,4624,2080,17-01-2026,Delhi
IMG_00031,jpg,1.3063,4624,2080,17-01-2026,Delhi
IMG_00032,jpg,1.1919,4624,2080,17-01-2026,Delhi
IMG_00033,jpg,1.2973,4624,2080,17-01-2026,Delhi
IMG_00034,jpg,0.9345,4624,2080,17-01-2026,Delhi
IMG_00035,jpg,1.1969,4624,2080,18-01-2026,Delhi
IMG_00036,jpg,1.3715,4624,2080,18-01-2026,Delhi
IMG_00037,jpg,1.6152,4624,2080,18-01-2026,Delhi
IMG_00038,jpg,1.5059,4624,2080,18-01-2026,Delhi
IMG_00039,jpg,1.6838,4624,2080,18-01-2026,Delhi
IMG_00040,jpg,1.4814,4624,2080,18-01-2026,Delhi
IMG_00041,jpg,1.8748,4624,2080,18-01-2026,Delhi
IMG_00042,jpg,1.782,4624,2080,18-01-2026,Delhi
IMG_00043,jpg,1.6862,4624,2080,18-01-2026,Delhi
IMG_00044,jpg,1.6147,4624,2080,19-01-2026,Delhi
IMG_00045,jpg,1.6239,4624,2080,19-01-2026,Delhi
IMG_00046,jpg,1.4274,4624,2080,19-01-2026,Delhi
