image_id,abnormality_id,abnormality_type,x_centre,y_centre,width_scaled,height_scaled
IMG_00001,IMG_00001_annotation_000,Road patch failure,0.5137,0.6978,0.0852,0.2314
IMG_00002,IMG_00002_annotation_000,Road patch failure,0.4762,0.8156,0.0852,0.0984
IMG_00003,IMG_00003_annotation_000,Road patch failure,0.5168,0.7248,0.1383,0.2439
IMG_00004,IMG_00004_annotation_000,Pothole,0.5066,0.3465,0.107,0.1053
IMG_00004,IMG_00004_annotation_001,Pothole,0.3797,0.6825,0.2297,0.3395
IMG_00005,IMG_00005_annotation_000,Road patch failure,0.4875,0.7788,0.0922,0.1136
IMG_00006,IMG_00006_annotation_000,Pothole,0.534,0.668,0.1336,0.1053
IMG_00007,IMG_00007_annotation_000,Pothole,0.5152,0.6437,0.1258,0.1067
IMG_00008,IMG_00008_annotation_000,Road patch failure,0.4602,0.5245,0.1172,0.0707
IMG_00009,IMG_00009_annotation_000,Road patch failure,0.5383,0.9139,0.0813,0.1344
IMG_00009,IMG_00009_annotation_001,Road patch failure,0.6254,0.9594,0.0773,0.0812
IMG_00010,IMG_00010_annotation_000,Road patch failure,0.2562,0.7421,0.0641,0.0513
IMG_00010,IMG_00010_annotation_001,Road patch failure,0.4707,0.8419,0.1633,0.1954
IMG_00011,IMG_00011_annotation_000,Pothole,0.4734,0.6991,0.1516,0.1871
IMG_00012,IMG_00012_annotation_000,Pothole,0.4598,0.7518,0.143,0.1815
IMG_00013,IMG_00013_annotation_000,Pothole,0.6466,0.7067,0.2869,0.2276
IMG_00013,IMG_00013_annotation_001,Pothole,0.4441,0.5409,0.137,0.0978
IMG_00014,IMG_00014_annotation_000,Surface depression,0.5284,0.4511,0.0706,0.1715
IMG_00014,IMG_00014_annotation_001,Surface depression,0.3392,0.4471,0.1031,0.0897
IMG_00014,IMG_00014_annotation_002,Surface depression,0.2761,0.5465,0.1298,0.0897
IMG_00014,IMG_00014_annotation_003,Surface depression,0.1766,0.6322,0.1672,0.1074
IMG_00014,IMG_00014_annotation_004,Manhole,0.7865,0.9375,0.2062,0.125
IMG_00015,IMG_00015_annotation_000,Surface depression,0.4909,0.4335,0.1139,0.0913
IMG_00015,IMG_00015_annotation_001,Surface depression,0.519,0.5833,0.1687,0.1955
IMG_00015,IMG_00015_annotation_002,Surface depression,0.5057,0.8478,0.2574,0.3045
IMG_00015,IMG_00015_annotation_003,Surface depression,0.4815,0.3558,0.0389,0.0481
IMG_00016,IMG_00016_annotation_000,Surface depression,0.5407,0.758,0.1716,0.266
IMG_00016,IMG_00016_annotation_001,Surface depression,0.5107,0.5216,0.0786,0.2035
IMG_00016,IMG_00016_annotation_002,Surface depression,0.9127,0.5072,0.1746,0.2099
IMG_00017,IMG_00017_annotation_000,Surface depression,0.5244,0.5433,0.2054,0.1122
IMG_00018,IMG_00018_annotation_000,Road patch failure,0.558,0.5777,0.0793,0.0849
IMG_00018,IMG_00018_annotation_001,Road patch failure,0.5111,0.7099,0.1024,0.125
IMG_00018,IMG_00018_annotation_002,Road patch failure,0.4113,0.8966,0.1146,0.1202
IMG_00018,IMG_00018_annotation_003,Road patch failure,0.323,0.6691,0.0519,0.0978
IMG_00018,IMG_00018_annotation_004,Road patch failure,0.2739,0.9191,0.1153,0.1619
IMG_00019,IMG_00019_annotation_000,Road patch failure,0.5241,0.6258,0.1355,0.1394
IMG_00019,IMG_00019_annotation_001,Road patch failure,0.1168,0.8253,0.098,0.1538
IMG_00019,IMG_00019_annotation_002,Road patch failure,0.435,0.8934,0.1507,0.2099
IMG_00019,IMG_00019_annotation_003,Road patch failure,0.3705,0.5296,0.111,0.1202
IMG_00020,IMG_00020_annotation_000,Surface depression,0.5306,0.4671,0.2437,0.117
IMG_00021,IMG_00021_annotation_000,Surface depression,0.5277,0.5184,0.1514,0.0721
IMG_00021,IMG_00021_annotation_001,Surface depression,0.5493,0.7524,0.0721,0.1394
IMG_00021,IMG_00021_annotation_002,Pothole,0.4051,0.4439,0.0562,0.0609
IMG_00022,IMG_00022_annotation_000,Surface depression,0.2916,0.7388,0.3381,0.3141
IMG_00022,IMG_00022_annotation_001,Surface depression,0.6484,0.4231,0.1189,0.0769
IMG_00022,IMG_00022_annotation_002,Surface depression,0.5781,0.2965,0.1197,0.0641
IMG_00022,IMG_00022_annotation_003,Surface depression,0.6232,0.3534,0.1276,0.0625
IMG_00022,IMG_00022_annotation_004,Manhole,0.9513,0.7692,0.0975,0.1378
IMG_00023,IMG_00023_annotation_000,Surface depression,0.4988,0.2284,0.1528,0.1362
IMG_00023,IMG_00023_annotation_001,Surface depression,0.5601,0.3862,0.2177,0.1763
IMG_00023,IMG_00023_annotation_002,Surface depression,0.5832,0.6146,0.2393,0.226
IMG_00024,IMG_00024_annotation_000,Road patch failure,0.4722,0.5184,0.0562,0.0529
IMG_00024,IMG_00024_annotation_001,Road patch failure,0.5399,0.4968,0.0764,0.0673
IMG_00024,IMG_00024_annotation_002,Surface depression,0.6524,0.77,0.3431,0.4439
IMG_00025,IMG_00025_annotation_000,Surface depression,0.4689,0.6146,0.3943,0.2228
IMG_00025,IMG_00025_annotation_001,Surface depression,0.5295,0.101,0.0988,0.0385
IMG_00026,IMG_00026_annotation_000,Surface depression,0.6823,0.7604,0.3193,0.3317
IMG_00026,IMG_00026_annotation_001,Surface depression,0.3867,0.7428,0.2429,0.3478
IMG_00026,IMG_00026_annotation_002,Surface depression,0.5814,0.4503,0.1723,0.1154
IMG_00026,IMG_00026_annotation_003,Surface depression,0.1125,0.8413,0.1788,0.2308
IMG_00027,IMG_00027_annotation_000,Surface depression,0.7544,0.7973,0.3525,0.4054
IMG_00027,IMG_00027_annotation_001,Manhole,0.5861,0.3101,0.098,0.0465
IMG_00027,IMG_00027_annotation_002,Surface depression,0.9307,0.472,0.1386,0.2292
IMG_00027,IMG_00027_annotation_003,Surface depression,0.7093,0.4495,0.235,0.1811
IMG_00028,IMG_00028_annotation_000,Surface depression,0.5194,0.6386,0.1766,0.149
IMG_00029,IMG_00029_annotation_000,Road patch failure,0.6315,0.3397,0.1355,0.0545
IMG_00029,IMG_00029_annotation_001,Road patch failure,0.6466,0.4191,0.1096,0.0657
IMG_00029,IMG_00029_annotation_002,Road patch failure,0.7836,0.7949,0.1038,0.1442
IMG_00029,IMG_00029_annotation_003,Road patch failure,0.9252,0.4143,0.1406,0.1458
IMG_00029,IMG_00029_annotation_004,Road patch failure,0.4509,0.6971,0.1319,0.0929
IMG_00029,IMG_00029_annotation_005,Road patch failure,0.4862,0.9487,0.1564,0.1026
IMG_00029,IMG_00029_annotation_006,Road patch failure,0.3136,0.3478,0.0505,0.0705
IMG_00030,IMG_00030_annotation_000,Road patch failure,0.5695,0.7372,0.1572,0.125
IMG_00030,IMG_00030_annotation_001,Road patch failure,0.5792,0.9351,0.1665,0.1298
IMG_00030,IMG_00030_annotation_002,Road patch failure,0.0317,0.7748,0.062,0.1202
IMG_00031,IMG_00031_annotation_000,Road patch failure,0.4055,0.6675,0.1204,0.1266
IMG_00031,IMG_00031_annotation_001,Surface depression,0.6041,0.6947,0.1773,0.1426
IMG_00031,IMG_00031_annotation_002,Surface depression,0.541,0.4784,0.067,0.0849
IMG_00031,IMG_00031_annotation_003,Surface depression,0.5904,0.5681,0.1125,0.0753
IMG_00032,IMG_00032_annotation_000,Road patch failure,0.3547,0.738,0.0894,0.1619
IMG_00032,IMG_00032_annotation_001,Road patch failure,0.6059,0.52,0.0656,0.0721
IMG_00032,IMG_00032_annotation_002,Road patch failure,0.4902,0.3806,0.0851,0.0561
IMG_00032,IMG_00032_annotation_003,Road patch failure,0.8831,0.3958,0.1283,0.0994
IMG_00033,IMG_00033_annotation_000,Surface depression,0.6841,0.8494,0.31,0.3013
IMG_00033,IMG_00033_annotation_001,Surface depression,0.2516,0.8566,0.2408,0.1202
IMG_00033,IMG_00033_annotation_002,Surface depression,0.3269,0.488,0.0627,0.1138
IMG_00033,IMG_00033_annotation_003,Surface depression,0.457,0.5569,0.1341,0.0721
IMG_00033,IMG_00033_annotation_004,Surface depression,0.5558,0.4728,0.0505,0.0513
IMG_00033,IMG_00033_annotation_005,Surface depression,0.4542,0.7821,0.1456,0.2019
IMG_00034,IMG_00034_annotation_000,Road patch failure,0.6041,0.6474,0.0793,0.0865
IMG_00034,IMG_00034_annotation_001,Road patch failure,0.3882,0.5809,0.0973,0.0625
IMG_00034,IMG_00034_annotation_002,Road patch failure,0.1752,0.601,0.0678,0.0962
IMG_00035,IMG_00035_annotation_000,Road patch failure,0.2516,0.8117,0.0908,0.1106
IMG_00035,IMG_00035_annotation_001,Road patch failure,0.3067,0.6859,0.1204,0.0962
IMG_00035,IMG_00035_annotation_002,Surface depression,0.4635,0.496,0.0678,0.0689
IMG_00035,IMG_00035_annotation_003,Pothole,0.5194,0.395,0.067,0.0465
IMG_00035,IMG_00035_annotation_004,Surface depression,0.4653,0.4399,0.0699,0.0465
IMG_00035,IMG_00035_annotation_005,Surface depression,0.2869,0.492,0.2364,0.0801
IMG_00035,IMG_00035_annotation_006,Surface depression,0.0764,0.621,0.1528,0.1619
IMG_00036,IMG_00036_annotation_000,Surface depression,0.3421,0.8526,0.1449,0.2532
IMG_00036,IMG_00036_annotation_001,Pothole,0.4956,0.5777,0.1478,0.1426
IMG_00036,IMG_00036_annotation_002,Road patch failure,0.496,0.4559,0.0346,0.0497
IMG_00037,IMG_00037_annotation_000,Surface depression,0.2246,0.6811,0.1867,0.2083
IMG_00037,IMG_00037_annotation_001,Surface depression,0.4848,0.4119,0.1204,0.125
IMG_00037,IMG_00037_annotation_002,Surface depression,0.6297,0.5561,0.1016,0.2244
IMG_00037,IMG_00037_annotation_003,Surface depression,0.3914,0.52,0.186,0.2324
IMG_00037,IMG_00037_annotation_004,Surface depression,0.5093,0.2917,0.0959,0.0577
IMG_00038,IMG_00038_annotation_000,Surface depression,0.466,0.383,0.2054,0.1442
IMG_00038,IMG_00038_annotation_001,Road patch failure,0.7155,0.758,0.1045,0.1442
IMG_00039,IMG_00039_annotation_000,Surface depression,0.6282,0.4944,0.1218,0.0881
IMG_00039,IMG_00039_annotation_001,Surface depression,0.5252,0.7676,0.328,0.4519
IMG_00040,IMG_00040_annotation_000,Surface depression,0.4664,0.7139,0.186,0.1779
IMG_00040,IMG_00040_annotation_001,Surface depression,0.9177,0.7067,0.1629,0.1987
IMG_00040,IMG_00040_annotation_002,Surface depression,0.7403,0.4888,0.2898,0.1282
IMG_00041,IMG_00041_annotation_000,Pothole,0.5205,0.5096,0.0894,0.0641
IMG_00042,IMG_00042_annotation_000,Pothole,0.3183,0.4343,0.1204,0.0737
IMG_00043,IMG_00043_annotation_000,Surface depression,0.4606,0.7372,0.1845,0.1923
IMG_00044,IMG_00044_annotation_000,Surface depression,0.7562,0.5881,0.3734,0.2756
IMG_00044,IMG_00044_annotation_001,Surface depression,0.355,0.5192,0.1247,0.1346
IMG_00045,IMG_00045_annotation_000,Surface depression,0.8016,0.6402,0.3057,0.1298
IMG_00046,IMG_00046_annotation_000,Surface depression,0.7674,0.5369,0.3857,0.2212
IMG_00046,IMG_00046_annotation_001,Pothole,0.1521,0.4736,0.1269,0.0913
IMG_00047,IMG_00047_annotation_000,Surface depression,0.621,0.6274,0.2833,0.4888
IMG_00048,IMG_00048_annotation_000,Miscellaneous abnormality,0.6874,0.4888,0.2545,0.1859
IMG_00049,IMG_00049_annotation_000,Surface depression,0.7385,0.5769,0.3251,0.2564
IMG_00050,IMG_00050_annotation_000,Pothole,0.1777,0.4583,0.0858,0.0545
IMG_00050,IMG_00050_annotation_001,Surface depression,0.6264,0.7035,0.2682,0.2083
IMG_00051,IMG_00051_annotation_000,Surface depression,0.4671,0.4647,0.1283,0.2404
IMG_00052,IMG_00052_annotation_000,Surface depression,0.5331,0.5585,0.1189,0.3061
IMG_00053,IMG_00053_annotation_000,Surface depression,0.5457,0.8117,0.2437,0.3766
IMG_00054,IMG_00054_annotation_000,Surface depression,0.731,0.7732,0.4455,0.274
IMG_00055,IMG_00055_annotation_000,Surface depression,0.1427,0.6859,0.2537,0.2532
IMG_00055,IMG_00055_annotation_001,Manhole,0.7832,0.8157,0.1723,0.2147
IMG_00055,IMG_00055_annotation_002,Pothole,0.5497,0.8181,0.1146,0.149
IMG_00056,IMG_00056_annotation_000,Surface depression,0.7533,0.8734,0.2004,0.2532
IMG_00056,IMG_00056_annotation_001,Pothole,0.3612,0.4744,0.0851,0.0641
IMG_00057,IMG_00057_annotation_000,Surface depression,0.6845,0.7147,0.2199,0.5128
