image_id,abnormality_type,severity,road_type,weather,lighting,occlusion,shape
IMG_00001,,minor,rural,clear_dry,daylight,none,irregular
IMG_00002,,minor,rural,clear_dry,daylight,none,circular
IMG_00003,,moderate,rural,wet_road,daylight,vehicle_occluded,irregular
IMG_00004,,moderate,rural,wet_road,daylight,none,irregular
IMG_00005,,minor,rural,clear_dry,daylight,none,circular
IMG_00006,,minor,urban,clear_dry,daylight,none,circular
IMG_00007,,minor,urban,clear_dry,daylight,none,circular
IMG_00008,,minor,residential,clear_dry,daylight,partial,irregular
IMG_00009,,moderate,residential,wet_road,daylight,vehicle_occluded,irregular
IMG_00010,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00011,,moderate,urban,wet_road,daylight,none,irregular
IMG_00012,,moderate,urban,wet_road,daylight,none,irregular
IMG_00013,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00014,,severe,urban,clear_dry,daylight,none,irregular
IMG_00015,,severe,urban,clear_dry,daylight,none,irregular
IMG_00016,,severe,urban,clear_dry,daylight,none,irregular
IMG_00017,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00018,,severe,urban,cloudy,daylight,none,irregular
IMG_00019,,severe,urban,clear_dry,daylight,none,irregular
IMG_00020,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00021,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00022,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00023,,minor,urban,clear_dry,daylight,none,longitudinal
IMG_00024,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00025,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00026,,severe,urban,clear_dry,daylight,none,irregular
IMG_00027,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00028,,minor,urban,clear_dry,daylight,none,irregular
IMG_00029,,severe,urban,clear_dry,daylight,none,irregular
IMG_00030,,minor,urban,clear_dry,daylight,none,irregular
IMG_00031,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00032,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00033,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00034,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00035,,severe,urban,clear_dry,daylight,none,irregular
IMG_00036,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00037,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00038,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00039,,severe,urban,clear_dry,daylight,none,irregular
IMG_00040,,severe,urban,clear_dry,daylight,none,irregular
IMG_00041,,severe,urban,clear_dry,daylight,none,irregular
IMG_00042,,severe,urban,clear_dry,daylight,none,irregular
IMG_00043,,severe,urban,clear_dry,daylight,none,irregular
IMG_00044,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00045,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00046,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00047,,severe,urban,clear_dry,daylight,none,irregular
IMG_00048,,severe,urban,clear_dry,daylight,none,irregular
IMG_00049,,severe,urban,clear_dry,daylight,none,irregular
IMG_00050,,severe,urban,clear_dry,daylight,none,irregular
IMG_00051,,moderate,residential,clear_dry,daylight,partial,irregular
IMG_00052,,severe,urban,clear_dry,daylight,none,irregular
IMG_00053,,severe,urban,clear_dry,daylight,none,irregular
IMG_00054,,severe,urban,clear_dry,daylight,none,irregular
IMG_00055,,severe,urban,clear_dry,daylight,none,irregular
IMG_00056,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00057,,minor,urban,clear_dry,daylight,none,longitudinal
IMG_00058,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00059,,minor,urban,clear_dry,daylight,none,irregular
IMG_00060,,minor,urban,clear_dry,daylight,none,irregular
IMG_00061,,minor,urban,clear_dry,daylight,none,irregular
IMG_00062,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00063,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00064,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00065,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00066,,severe,urban,clear_dry,daylight,none,irregular
IMG_00067,,severe,urban,clear_dry,daylight,none,irregular
IMG_00068,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00069,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00070,,moderate,urban,clear_dry,daylight,none,longitudinal
IMG_00071,,minor,urban,clear_dry,daylight,none,irregular
IMG_00072,,severe,urban,clear_dry,daylight,none,irregular
IMG_00073,,severe,urban,clear_dry,daylight,none,irregular
IMG_00074,,minor,urban,clear_dry,daylight,none,irregular
IMG_00075,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00076,,severe,urban,clear_dry,daylight,none,irregular
IMG_00077,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00078,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00079,,severe,urban,cloudy,daylight,vehicle_occluded,irregular
IMG_00080,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00081,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00082,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00083,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00084,,minor,urban,clear_dry,daylight,none,irregular
IMG_00085,,minor,urban,clear_dry,daylight,none,irregular
IMG_00086,,severe,urban,clear_dry,daylight,none,irregular
