image_id,collection_state,district,latitude_grid,longitude_grid,pavement_type,traffic_density,collection_season,nearby_feature,slope_type,road_width_category,intersection_proximity
IMG_00001,Tamil Nadu,Chennai,13.000139,80.2205,asphalt,low,summer,none,flat,medium,mid_block
IMG_00002,Tamil Nadu,Chennai,12.988692,80.227024,asphalt,low,summer,none,flat,medium,mid_block
IMG_00003,Tamil Nadu,Chennai,13.003187,80.24195,asphalt,low,monsoon,none,mild_slope,medium,mid_block
IMG_00004,Tamil Nadu,Chennai,13.008078,80.222539,asphalt,low,monsoon,none,flat,medium,mid_block
IMG_00005,Tamil Nadu,Chennai,12.986921,80.23631,asphalt,low,summer,none,flat,medium,mid_block
IMG_00006,Tamil Nadu,Chennai,13.000467,80.237613,asphalt,low,post_monsoon,parking_area,flat,medium,mid_block
IMG_00007,Tamil Nadu,Chennai,12.986977,80.239072,asphalt,low,post_monsoon,parking_area,flat,medium,mid_block
IMG_00008,Tamil Nadu,Chennai,13.005365,80.242656,concrete,low,summer,construction_site,flat,medium,mid_block
IMG_00009,Tamil Nadu,Chennai,12.990741,80.224794,mixed,low,winter,none,flat,medium,mid_block
IMG_00010,Tamil Nadu,Chennai,13.006674,80.239548,mixed,low,summer,construction_site,flat,medium,near_intersection
IMG_00011,Tamil Nadu,Chennai,13.005407,80.243695,mixed,low,monsoon,residential_building,flat,medium,mid_block
IMG_00012,Tamil Nadu,Chennai,12.991944,80.237847,mixed,low,post_monsoon,residential_building,flat,medium,mid_block
IMG_00013,Delhi,North West,28.725473,76.990214,mixed,low,winter,drainage_channel,flat,medium,mid_block
IMG_00014,Delhi,North West,28.804048,76.966634,unpaved,low,winter,construction_site,flat,medium,mid_block
IMG_00015,Delhi,North West,28.718294,77.039035,mixed,low,winter,construction_site,flat,narrow,mid_block
IMG_00016,Delhi,North West,28.718523,77.053555,mixed,low,winter,construction_site,flat,narrow,mid_block
IMG_00017,Delhi,North West,28.733777,76.978494,unpaved,low,winter,parking_area,flat,wide,mid_block
IMG_00018,Delhi,North West,28.738651,77.047113,unpaved,low,winter,construction_site,flat,wide,mid_block
IMG_00019,Delhi,North West,28.780162,76.95952,unpaved,low,summer,construction_site,flat,wide,mid_block
IMG_00020,Delhi,North West,28.719473,77.001665,asphalt,low,winter,commercial_area,flat,medium,mid_block
IMG_00021,Delhi,North West,28.737588,76.987843,mixed,low,winter,residential_building,flat,narrow,mid_block
IMG_00022,Delhi,North West,28.712246,77.077755,mixed,low,winter,commercial_area,flat,narrow,mid_block
IMG_00023,Delhi,North West,28.711261,77.01725,asphalt,low,summer,residential_building,flat,medium,mid_block
IMG_00024,Delhi,North West,28.73062,76.99792,asphalt,low,summer,commercial_area,flat,narrow,mid_block
IMG_00025,Delhi,North West,28.724181,76.994266,concrete,low,winter,commercial_area,flat,narrow,mid_block
IMG_00026,Delhi,North West,28.761929,76.997054,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00027,Delhi,North West,28.741308,76.989541,unpaved,low,winter,commercial_area,flat,medium,mid_block
IMG_00028,Delhi,North West,28.704417,77.060161,mixed,low,summer,commercial_area,flat,medium,mid_block
IMG_00029,Delhi,North West,28.724429,77.0625,mixed,low,summer,residential_building,flat,medium,mid_block
IMG_00030,Delhi,North West,28.70466,77.026821,mixed,medium,winter,commercial_area,flat,narrow,mid_block
IMG_00031,Delhi,North West,28.754191,76.982504,mixed,low,winter,residential_building,flat,narrow,mid_block
IMG_00032,Delhi,North West,28.728454,77.062152,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00033,Delhi,North West,28.76799,76.978038,mixed,low,summer,commercial_area,flat,medium,mid_block
IMG_00034,Delhi,North West,28.692937,77.112358,mixed,low,summer,commercial_area,flat,medium,mid_block
IMG_00035,Delhi,North West,28.701362,77.035684,mixed,low,winter,commercial_area,flat,narrow,mid_block
IMG_00036,Delhi,North West,28.699269,77.083202,mixed,low,winter,commercial_area,flat,narrow,mid_block
IMG_00037,Delhi,North West,28.787962,76.973807,unpaved,low,summer,commercial_area,flat,medium,mid_block
IMG_00038,Delhi,North West,28.724203,77.102552,unpaved,low,summer,construction_site,flat,medium,mid_block
IMG_00039,Delhi,North West,28.74433,76.98824,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00040,Delhi,North West,28.716067,77.005529,unpaved,low,summer,construction_site,flat,wide,near_intersection
IMG_00041,Delhi,North West,28.733501,77.053389,unpaved,low,winter,commercial_area,flat,wide,mid_block
IMG_00042,Delhi,North West,28.719755,76.989696,unpaved,low,winter,construction_site,flat,wide,mid_block
IMG_00043,Delhi,North West,28.699496,77.060794,unpaved,low,summer,market,flat,wide,mid_block
IMG_00044,Delhi,North West,28.799904,76.963852,unpaved,low,winter,drainage_channel,flat,medium,mid_block
IMG_00045,Delhi,North West,28.720759,77.067348,unpaved,low,winter,commercial_area,flat,medium,mid_block
IMG_00046,Delhi,North West,28.793266,76.984539,unpaved,low,winter,commercial_area,flat,medium,mid_block
IMG_00047,Delhi,North West,28.702798,77.026178,unpaved,low,winter,none,flat,wide,mid_block
IMG_00048,Delhi,North West,28.744386,77.032403,unpaved,low,winter,commercial_area,flat,wide,near_intersection
IMG_00049,Delhi,North West,28.741718,77.010302,unpaved,low,winter,commercial_area,flat,wide,at_intersection
IMG_00050,Delhi,North West,28.714674,77.029217,unpaved,low,winter,commercial_area,flat,medium,mid_block
IMG_00051,Delhi,North West,28.74417,76.999789,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00052,Delhi,North West,28.760523,76.960345,unpaved,low,summer,construction_site,flat,medium,mid_block
IMG_00053,Delhi,North West,28.752288,76.988577,unpaved,low,summer,construction_site,flat,medium,mid_block
IMG_00054,Delhi,North West,28.724222,77.087263,unpaved,low,summer,construction_site,flat,medium,near_intersection
IMG_00055,Delhi,North West,28.710165,77.002932,mixed,low,summer,none,flat,medium,mid_block
IMG_00056,Delhi,North West,28.697735,77.052674,asphalt,low,summer,drainage_channel,flat,medium,mid_block
IMG_00057,Delhi,North West,28.716463,77.075517,asphalt,low,summer,residential_building,flat,wide,mid_block
IMG_00058,Delhi,North West,28.720846,77.020076,asphalt,low,winter,residential_building,flat,wide,near_intersection
IMG_00059,Delhi,North West,28.775975,77.003501,asphalt,low,winter,residential_building,flat,wide,mid_block
IMG_00060,Delhi,North West,28.730712,77.08169,asphalt,low,summer,residential_building,flat,wide,mid_block
IMG_00061,Delhi,North West,28.737504,76.978887,asphalt,low,winter,commercial_area,flat,medium,near_intersection
IMG_00062,Delhi,North West,28.704085,77.047318,mixed,low,summer,commercial_area,flat,wide,mid_block
IMG_00063,Delhi,North West,28.725132,77.056248,mixed,low,winter,commercial_area,flat,wide,mid_block
IMG_00064,Delhi,North West,28.781822,76.98682,mixed,low,winter,commercial_area,flat,wide,mid_block
IMG_00065,Delhi,North West,28.771207,76.997269,mixed,low,winter,commercial_area,flat,wide,mid_block
IMG_00066,Delhi,North West,28.798181,76.967562,unpaved,low,winter,commercial_area,flat,medium,mid_block
IMG_00067,Delhi,North West,28.744386,76.999466,mixed,low,winter,commercial_area,flat,wide,near_intersection
IMG_00068,Delhi,North West,28.771573,76.996918,asphalt,low,winter,commercial_area,flat,wide,mid_block
IMG_00069,Delhi,North West,28.700037,77.104399,mixed,low,winter,commercial_area,flat,wide,near_intersection
IMG_00070,Delhi,North West,28.710134,77.112493,asphalt,low,winter,commercial_area,flat,medium,mid_block
IMG_00071,Delhi,North West,28.790704,76.970295,asphalt,low,winter,construction_site,flat,medium,mid_block
IMG_00072,Delhi,North West,28.718777,77.092889,mixed,medium,winter,commercial_area,flat,medium,mid_block
IMG_00073,Delhi,North West,28.749062,77.0044,unpaved,low,winter,construction_site,flat,medium,near_intersection
IMG_00074,Delhi,North West,28.704259,77.026786,asphalt,medium,winter,parking_area,flat,medium,mid_block
IMG_00075,Delhi,North West,28.722888,77.074236,mixed,medium,winter,commercial_area,flat,medium,mid_block
IMG_00076,Delhi,North West,28.690672,77.111748,mixed,medium,winter,market,flat,medium,mid_block
IMG_00077,Delhi,North West,28.782095,77.003557,mixed,medium,summer,commercial_area,flat,medium,mid_block
IMG_00078,Delhi,North West,28.729835,77.022257,mixed,low,winter,commercial_area,flat,medium,mid_block
IMG_00079,Delhi,North West,28.74169,77.00275,unpaved,medium,winter,market,flat,narrow,mid_block
IMG_00080,Delhi,North West,28.706663,77.024343,mixed,high,winter,commercial_area,flat,narrow,mid_block
IMG_00081,Delhi,North West,28.728773,77.046403,unpaved,high,winter,commercial_area,flat,medium,mid_block
IMG_00082,Delhi,North West,28.746752,76.988569,asphalt,high,summer,commercial_area,flat,medium,mid_block
IMG_00083,Delhi,North West,28.791805,76.980954,asphalt,medium,summer,commercial_area,flat,medium,mid_block
IMG_00084,Delhi,North West,28.701253,77.040782,mixed,low,summer,parking_area,flat,medium,mid_block
IMG_00085,Delhi,North West,28.771042,77.00959,unpaved,low,summer,commercial_area,flat,medium,mid_block
